parameter,category,unit,range_min,range_max,severity,probable_diseases,notes
PM2.5,Air,µg/m³,0,12,Good,"None — low risk","WHO safe level"
PM2.5,Air,µg/m³,12.1,35.4,Moderate,"Mild respiratory irritation (sensitive groups: asthma, allergic rhinitis)","Sensitive groups affected"
PM2.5,Air,µg/m³,35.5,55.4,Unhealthy for Sensitive,"Asthma exacerbation, Bronchitis, Allergic conjunctivitis","Children and elderly at risk"
PM2.5,Air,µg/m³,55.5,150.4,Unhealthy,"Asthma, COPD exacerbation, Ischemic heart disease, Arrhythmia, Stroke (acute risk)","General population affected"
PM2.5,Air,µg/m³,150.5,250.4,Very Unhealthy,"Asthma, COPD, Pneumonia, Ischemic heart disease, Stroke, Preterm birth risk, Cognitive impairment","Serious risk for all"
PM2.5,Air,µg/m³,250.5,9999,Hazardous,"Acute respiratory failure, Lung cancer (chronic exposure), Alzheimer's risk, Stroke, Heart attack, Preterm birth, Miscarriage","Emergency level"
PM10,Air,µg/m³,0,54,Good,"None — low risk","WHO guideline <45"
PM10,Air,µg/m³,55,154,Moderate,"Allergic rhinitis, Conjunctivitis","Dust and pollen aggregation"
PM10,Air,µg/m³,155,254,Unhealthy for Sensitive,"Asthma, Bronchitis, Sinusitis, Rhinitis","Coarse particles irritate upper airways"
PM10,Air,µg/m³,255,354,Unhealthy,"Asthma, COPD, Bronchitis, Pneumonia","Widespread irritation"
PM10,Air,µg/m³,355,424,Very Unhealthy,"COPD, Pneumonia, Asthma, Mesothelioma (if industrial area)","Includes larger hazardous fibers"
PM10,Air,µg/m³,425,9999,Hazardous,"Acute bronchitis, Pneumonia, Mesothelioma risk, Respiratory failure","Industrial dust emergency"
NO2,Air,µg/m³,0,40,Good,"None","WHO annual guideline: 40 µg/m³"
NO2,Air,µg/m³,41,100,Moderate,"Mild asthma irritation, Allergic rhinitis (sensitive groups)","Near traffic zones"
